ILCE_ADI;Nüfus
ADALAR;15238
ARNAVUTKÖY;282488
ATAŞEHİR;425094
AVCILAR;448882
BAĞCILAR;745125
BAHÇELİEVLER;611059
BAKIRKÖY;229239
BAŞAKŞEHİR;460259
BAYRAMPAŞA;274735
BEŞİKTAŞ;182649
BEYKOZ;248260
BEYLİKDÜZÜ;352412
BEYOĞLU;233323
BÜYÜKÇEKMECE;254103
ÇATALCA;73718
ÇEKMEKÖY;264508
ESENLER;450344
ESENYURT;954579
EYÜPSULTAN;400513
FATİH;443090
GAZİOSMANPAŞA;491962
GÜNGÖREN;289441
KADIKÖY;482713
KAĞITHANE;448025
KARTAL;470676
KÜÇÜKÇEKMECE;792821
MALTEPE;513316
PENDİK;711894
SANCAKTEPE;436733
SARIYER;347214
ŞİLE;37692
SİLİVRİ;193680
ŞİŞLİ279817
SULTANBEYLİ;336021
SULTANGAZİ;534565
TUZLA;267400
ÜMRANİYE;710280
ÜSKÜDAR;531825
ZEYTİNBURNU293574

