id;İlçe;2015;2016;2017;2018;2019;Nüfus
1;KADIKÖY;289799975;334484790;381418733;407184428;382648400;482713
2;ESENYURT;286305791;270714840;310456446;306478633;270391774;954579
3;PENDİK;259782434;265760154;293350294;291409388;260462353;711894
4;KÜÇÜKÇEKMECE;258612726;257019311;291513204;281520286;256603576;792821
5;ÜMRANİYE;243420288;236508313;283845936;271213413;237214965;710280
6;ÜSKÜDAR;228472669;228845546;254094119;239474552;210159134;531825
7;BAHÇELİEVLER;208697683;209962616;225841484;225819835;200595190;611059
8;BAĞCILAR;194262149;205157465;220599107;215813578;194966321;745125
9;SARIYER;184647704;197803870;220129541;213166985;185898510;347214
10;BAKIRKÖY;184401673;190011929;209936316;205345705;180569905;229239
11;MALTEPE;176766357;188495814;201323285;191692282;171969204;513316
12;ŞİŞLİ;167969376;182252261;194602820;191040594;159299768;279817
13;FATİH;162720938;168736928;185972097;178409035;159026591;443090
14;BEŞİKTAŞ;161216776;168596650;184470659;177387328;155364950;182649
15;ATAŞEHİR;159630807;164076552;178299259;170986901;153142032;425094
16;KARTAL;156843638;161534220;174104635;169196566;151409023;470676
17;EYÜPSULTAN;147666232;157405457;170957302;168414241;150300969;400513
18;KAĞITHANE;143312861;149568452;164063206;167354320;148495227;448025
19;AVCILAR;141786263;149031802;162821861;167059916;148014282;448882
20;TUZLA;140012852;147470066;162114990;165662751;144262968;267400
21;GAZİOSMANPAŞA;138093981;145372154;161366227;163286603;144172449;491962
22;BEYLİKDÜZÜ;136126573;144892297;160544294;156474188;143240045;352412
23;SULTANGAZİ;132592815;138148864;157550995;153311904;140808461;534565
24;BAŞAKŞEHİR;130084587;136453813;150918411;150513823;136961550;460259
25;ESENLER;103263733;121821008;144136463;148777395;134219075;450344
26;BEYKOZ;102541898;105524341;129963932;141640535;134096902;248260
27;SANCAKTEPE;102425333;104520001;119049660;117166735;104208849;436733
28;BÜYÜKÇEKMECE;96113299;98389483;117956439;113682773;103987842;254103
29;BEYOĞLU;95011854;96538199;112371269;112666690;102610446;233323
30;ZEYTİNBURNU;94281917;94963207;109306226;111450139;99874216;293574
31;GÜNGÖREN;93701304;94703078;105253542;110979155;97040463;289441
32;BAYRAMPAŞA;85088193;91274155;104528889;103382996;91972708;274735
33;ÇEKMEKÖY;85075343;89680701;103549129;101862437;91679656;264508
34;SİLİVRİ;77452808;87102589;102060688;100280313;89135959;347214
35;SULTANBEYLİ;66467663;80769796;96287921;94751881;83848593;336021
36;ARNAVUTKÖY;48954837;72039565;83696616;85885623;79525392;282488
37;ŞİLE;10531778;17189308;21134693;25354596;27434985;37692
38;ADALAR;2922987;8606303;20258565;20395845;17930376;15238
39;ÇATALCA;1073865;5617081;6657895;6321074;5845883;73718





